patient_id	cg00510787	cg03169527	cg23256971	cg08585897
0	0.0760003924369812	0.03102008067071438	0.6817082166671753	0.1367339938879013
1	0.05653959885239601	0.04174000024795532	0.30993878841400146	0.8330625891685486
2	0.03593093156814575	0.027602899819612503	0.336822509765625	0.779082715511322
3	0.06887073069810867	0.029245000332593918	0.6370280981063843	0.22007979452610016
4	0.05545727163553238	0.03156924992799759	0.64876788854599	0.1589113026857376
5	0.06114260107278824	0.02365780994296074	0.6421021819114685	0.22510820627212524
6	0.03639303147792816	0.021857919171452522	0.5905122756958008	0.343927800655365
7	0.04796971008181572	0.03030093014240265	0.20878340303897858	0.9039998054504395
8	0.08271276950836182	0.032664310187101364	0.636138916015625	0.17584989964962006
9	0.3696412146091461	0.21833960711956024	0.6484308242797852	0.18084849417209625
10	0.1425849050283432	0.029751060530543327	0.6102675795555115	0.23186750710010529
11	0.05201692134141922	0.029967080801725388	0.20603759586811066	0.8351476192474365
12	0.059604909271001816	0.0205074492841959	0.28527960181236267	0.7326353192329407
13	0.05055943876504898	0.027409059926867485	0.22269760072231293	0.8309199810028076
14	0.06583291292190552	0.02488257922232151	0.6761795282363892	0.2153289020061493
15	0.06962381303310394	0.021481409668922424	0.7239022850990295	0.10508319735527039
16	0.08743014186620712	0.03872387111186981	0.6525834202766418	0.15519200265407562
17	0.25499171018600464	0.10047320276498795	0.6202207207679749	0.15091609954833984
18	0.08376742154359818	0.022663310170173645	0.7145687937736511	0.12236709892749786
19	0.06123119965195656	0.023647259920835495	0.6606481075286865	0.16787169873714447
20	0.09170754998922348	0.028946630656719208	0.6481372117996216	0.24836379289627075
21	0.03390483930706978	0.029783040285110474	0.3207651972770691	0.7839692234992981
22	0.03229114040732384	0.044388219714164734	0.2336086928844452	0.8142483234405518
23	0.04923909902572632	0.030539419502019882	0.26260361075401306	0.8114758729934692
24	0.05704408138990402	0.018667150288820267	0.6424276828765869	0.14913180470466614
25	0.0339086689054966	0.03647344931960106	0.24653029441833496	0.7916067838668823
26	0.03690678998827934	0.034713320434093475	0.3293600082397461	0.8422458171844482
27	0.06558216363191605	0.016309700906276703	0.6792011260986328	0.17513589560985565
28	0.06458690762519836	0.022540099918842316	0.69857257604599	0.1615671068429947
29	0.06324893981218338	0.02455795928835869	0.6577317118644714	0.1595230996608734
30	0.04326064884662628	0.03754927217960358	0.23527489602565765	0.7254639267921448
31	0.45526859164237976	0.46502968668937683	0.6232907772064209	0.1893070936203003
32	0.051272548735141754	0.027723519131541252	0.6409834027290344	0.23058919608592987
